1663322975048|0|statement|connection 33|url jdbc:h2:mem:5b6853ec-6919-44bf-8a69-6f23a5b3c2ea|     drop table if exists refresh_token CASCADE |     drop table if exists refresh_token CASCADE 
1663322975049|0|statement|connection 33|url jdbc:h2:mem:5b6853ec-6919-44bf-8a69-6f23a5b3c2ea|     drop table if exists report_comment CASCADE |     drop table if exists report_comment CASCADE 
1663322975049|0|statement|connection 33|url jdbc:h2:mem:5b6853ec-6919-44bf-8a69-6f23a5b3c2ea|     drop table if exists report_page CASCADE |     drop table if exists report_page CASCADE 
1663322975050|0|statement|connection 33|url jdbc:h2:mem:5b6853ec-6919-44bf-8a69-6f23a5b3c2ea|     drop table if exists report_user CASCADE |     drop table if exists report_user CASCADE 
1663322975050|0|statement|connection 33|url jdbc:h2:mem:5b6853ec-6919-44bf-8a69-6f23a5b3c2ea|     drop table if exists user_active CASCADE |     drop table if exists user_active CASCADE 
1663322975050|0|statement|connection 33|url jdbc:h2:mem:5b6853ec-6919-44bf-8a69-6f23a5b3c2ea|     drop table if exists user_authority CASCADE |     drop table if exists user_authority CASCADE 
1663322975051|0|statement|connection 33|url jdbc:h2:mem:5b6853ec-6919-44bf-8a69-6f23a5b3c2ea|     drop table if exists user_chat_room CASCADE |     drop table if exists user_chat_room CASCADE 
1663322975051|0|statement|connection 33|url jdbc:h2:mem:5b6853ec-6919-44bf-8a69-6f23a5b3c2ea|     drop table if exists users CASCADE |     drop table if exists users CASCADE 
1663408014564|1|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists authority CASCADE |     drop table if exists authority CASCADE 
1663408014574|7|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists block CASCADE |     drop table if exists block CASCADE 
1663408014575|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists chat CASCADE |     drop table if exists chat CASCADE 
1663408014576|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists chat_img_url CASCADE |     drop table if exists chat_img_url CASCADE 
1663408014581|4|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists chat_room CASCADE |     drop table if exists chat_room CASCADE 
1663408014581|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists comment CASCADE |     drop table if exists comment CASCADE 
1663408014581|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists email_auth CASCADE |     drop table if exists email_auth CASCADE 
1663408014582|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists filter CASCADE |     drop table if exists filter CASCADE 
1663408014582|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists follow CASCADE |     drop table if exists follow CASCADE 
1663408014583|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists hashtag CASCADE |     drop table if exists hashtag CASCADE 
1663408014583|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists like_comment CASCADE |     drop table if exists like_comment CASCADE 
1663408014583|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists like_page CASCADE |     drop table if exists like_page CASCADE 
1663408014584|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists notification CASCADE |     drop table if exists notification CASCADE 
1663408014584|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists page CASCADE |     drop table if exists page CASCADE 
1663408014585|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists page_hashtag CASCADE |     drop table if exists page_hashtag CASCADE 
1663408014585|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists page_img_url CASCADE |     drop table if exists page_img_url CASCADE 
1663408014586|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists refresh_token CASCADE |     drop table if exists refresh_token CASCADE 
